loc_id,old_villeId,new_villeId,old_NCCENR,new_NCCENR
1,11127.0,12697,Tournefeuille,Tournefeuille
2,11127.0,12697,Tournefeuille,Tournefeuille
3,11127.0,12697,Tournefeuille,Tournefeuille
5,10983.0,12538,Nizan-Gesse,Nizan-Gesse
7,31962.0,35926,Rochechouart,Rochechouart
8,33231.0,37315,Chaville,Chaville
9,28388.0,31937,Fécamp,Fécamp
10,37556.0,31667,Paris 08,Paris 8e Arrondissement
11,29384.0,33022,Clayes-sous-Bois,Clayes-sous-Bois
12,33227.0,37311,Boulogne-Billancourt,Boulogne-Billancourt
14,9033.0,10020,Valence,Valence
15,37669.0,21627,Nancy,Nancy
16,29403.0,33042,Falaise,Falaise
18,29564.0,33212,Versailles,Versailles
19,29380.0,33016,Chesnay,Chesnay-Rocquencourt
20,33342.0,37428,Vincennes,Vincennes
21,15753.0,17772,Paucourt,Paucourt
22,33231.0,37315,Chaville,Chaville
23,33231.0,37315,Chaville,Chaville
25,33231.0,37315,Chaville,Chaville
26,33231.0,37315,Chaville,Chaville
27,37841.0,17409,Nantes,Nantes
28,37558.0,31669,Paris 10,Paris 10e Arrondissement
29,31089.0,34946,Draguignan,Draguignan
31,29564.0,33212,Versailles,Versailles
35,24702.0,27782,Lagrange,Lagrange
36,24881.0,27975,Tarbes,Tarbes
38,38176.0,29030,Mulhouse,Mulhouse
40,24881.0,27975,Tarbes,Tarbes
41,31085.0,34942,Cotignac,Cotignac
42,38176.0,29030,Mulhouse,Mulhouse
44,33443.0,37528,Luzarches,Luzarches
45,33519.0,37604,Viarmes,Viarmes
46,33519.0,37604,Viarmes,Viarmes
47,33231.0,37315,Chaville,Chaville
50,8837.0,9807,Grand-Serre,Grand-Serre
51,33247.0,37332,Plessis-Robinson,Plessis-Robinson
52,22429.0,25328,Magny-le-Désert,Magny-le-Désert
53,28344.0,31890,Dancourt,Dancourt
54,21982.0,24841,Noailles,Noailles
56,21982.0,24841,Noailles,Noailles
57,29621.0,33280,Brûlain,Brûlain
58,33247.0,37332,Plessis-Robinson,Plessis-Robinson
60,29380.0,33016,Chesnay,Chesnay-Rocquencourt
65,5732.0,6359,Saint-André-de-Lidon,Saint-André-de-Lidon
68,29399.0,33038,Epône,Épône
70,29457.0,33100,Mantes-la-Jolie,Mantes-la-Jolie
71,33491.0,37576,Saint-Brice-sous-Forêt,Saint-Brice-sous-Forêt
73,33491.0,37576,Saint-Brice-sous-Forêt,Saint-Brice-sous-Forêt
76,33362.0,37448,Bellefontaine,Bellefontaine
77,33362.0,37448,Bellefontaine,Bellefontaine
78,33363.0,37449,Belloy-en-France,Belloy-en-France
79,33292.0,37377,Stains,Stains
80,33292.0,37377,Stains,Stains
82,29564.0,33212,Versailles,Versailles
84,7520.0,8308,Guéret,Guéret
85,10923.0,12475,Mayrègne,Mayrègne
86,36125.0,33115,Mesnil-le-Roi,Mesnil-le-Roi
88,8321.0,9235,Dambenois,Dambenois
89,29486.0,33131,Montigny-le-Bretonneux,Montigny-le-Bretonneux
90,36125.0,33115,Mesnil-le-Roi,Mesnil-le-Roi
91,29486.0,33131,Montigny-le-Bretonneux,Montigny-le-Bretonneux
92,29486.0,33131,Montigny-le-Bretonneux,Montigny-le-Bretonneux
93,29564.0,33212,Versailles,Versailles
94,29365.0,33001,Buc,Buc
97,37738.0,23160,Nouilly,Nouilly
98,33519.0,37604,Viarmes,Viarmes
103,38057.0,4492,Aix-en-Provence,Aix-en-Provence
104,37558.0,31669,Paris 10,Paris 10e Arrondissement
109,33362.0,37448,Bellefontaine,Bellefontaine
113,33505.0,37590,Seugy,Seugy
114,33505.0,37590,Seugy,Seugy
118,33443.0,37528,Luzarches,Luzarches
119,33423.0,37508,Goussainville,Goussainville
121,33410.0,37496,Fontenay-en-Parisis,Fontenay-en-Parisis
122,33488.0,37573,Roissy-en-France,Roissy-en-France
124,33401.0,37487,Ecouen,Écouen
125,33399.0,37485,Domont,Domont
128,36589.0,31671,Paris 12e arrondissement,Paris 12e Arrondissement
129,29396.0,33035,Ecquevilly,Ecquevilly
130,32290.0,36273,Liffol-le-Grand,Liffol-le-Grand
131,33400.0,37486,Eaubonne,Eaubonne
133,33443.0,37528,Luzarches,Luzarches
136,33443.0,37528,Luzarches,Luzarches
141,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
142,3892.0,4270,Creissels,Creissels
143,33443.0,37528,Luzarches,Luzarches
144,28980.0,32581,Dammartin-en-Goële,Dammartin-en-Goële
149,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
152,33443.0,37528,Luzarches,Luzarches
154,33443.0,37528,Luzarches,Luzarches
155,33443.0,37528,Luzarches,Luzarches
160,33363.0,37449,Belloy-en-France,Belloy-en-France
165,33401.0,37487,Ecouen,Écouen
169,33422.0,37507,Gonesse,Gonesse
174,33443.0,37528,Luzarches,Luzarches
175,33443.0,37528,Luzarches,Luzarches
180,33401.0,37487,Ecouen,Écouen
183,33443.0,37528,Luzarches,Luzarches
190,21684.0,24521,Chantilly,Chantilly
200,33399.0,37485,Domont,Domont
204,33423.0,37508,Goussainville,Goussainville
205,33488.0,37573,Roissy-en-France,Roissy-en-France
207,16332.0,18419,Passage,Passage
208,33231.0,37315,Chaville,Chaville
214,33372.0,37458,Bouffémont,Bouffémont
217,33523.0,37608,Villeron,Villeron
223,33442.0,37527,Louvres,Louvres
225,33442.0,37527,Louvres,Louvres
228,33442.0,37527,Louvres,Louvres
233,33409.0,37495,Ezanville,Ézanville
236,33363.0,37449,Belloy-en-France,Belloy-en-France
243,33497.0,37582,Saint-Martin-du-Tertre,Saint-Martin-du-Tertre
248,33443.0,37528,Luzarches,Luzarches
249,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
256,29387.0,33025,Conflans-Sainte-Honorine,Conflans-Sainte-Honorine
259,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
262,33519.0,37604,Viarmes,Viarmes
265,33519.0,37604,Viarmes,Viarmes
273,33350.0,37436,Arnouville,Arnouville
279,33442.0,37527,Louvres,Louvres
280,33442.0,37527,Louvres,Louvres
283,33519.0,37604,Viarmes,Viarmes
289,33442.0,37527,Louvres,Louvres
290,31625.0,35585,Ceaux-en-Couhé,Valence-en-Poitou
291,31639.0,35565,Chasseneuil-du-Poitou,Chasseneuil-du-Poitou
294,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
297,33503.0,37588,Sarcelles,Sarcelles
300,33443.0,37528,Luzarches,Luzarches
301,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
306,33519.0,37604,Viarmes,Viarmes
312,33442.0,37527,Louvres,Louvres
317,12350.0,14053,Tourbes,Tourbes
318,37840.0,17409,Nantes,Nantes
319,33246.0,37331,Neuilly-sur-Seine,Neuilly-sur-Seine
321,46260.0,35885,Limoges,Limoges
322,564.0,623,Chigny,Chigny
330,33353.0,37439,Asnières-sur-Oise,Asnières-sur-Oise
334,36583.0,31665,Paris 6e arrondissement,Paris 6e Arrondissement
339,33442.0,37527,Louvres,Louvres
343,33442.0,37527,Louvres,Louvres
353,33481.0,37566,Plessis-Gassot,Plessis-Gassot
359,33485.0,37570,Puiseux-en-France,Puiseux-en-France
364,33363.0,37449,Belloy-en-France,Belloy-en-France
370,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
374,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
377,33353.0,37439,Asnières-sur-Oise,Asnières-sur-Oise
381,33523.0,37608,Villeron,Villeron
386,33399.0,37485,Domont,Domont
391,21816.0,24664,Gouvieux,Gouvieux
396,33443.0,37528,Luzarches,Luzarches
404,33485.0,37570,Puiseux-en-France,Puiseux-en-France
409,33523.0,37608,Villeron,Villeron
414,18237.0,20645,Grandchamp,Grandchamp
415,31457.0,35355,Mouchamps,Mouchamps
417,33244.0,37329,Montrouge,Montrouge
418,33250.0,37335,Saint-Cloud,Saint-Cloud
421,33404.0,37490,Epiais-lès-Louvres,Épiais-lès-Louvres
422,33404.0,37490,Epiais-lès-Louvres,Épiais-lès-Louvres
426,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
429,33519.0,37604,Viarmes,Viarmes
434,33248.0,37333,Puteaux,Puteaux
435,36597.0,31679,Paris 20e arrondissement,Paris 20e Arrondissement
438,29377.0,33013,Chatou,Chatou
441,33227.0,37311,Boulogne-Billancourt,Boulogne-Billancourt
445,33399.0,37485,Domont,Domont
448,33508.0,37593,Taverny,Taverny
453,33511.0,37596,Thillay,Thillay
